186	0.74	74173.27	0.49
187	0.75	74318.06	0.48
188	0.75	74460.39	0.48
189	0.76	74600.31	0.48
190	0.76	74737.87	0.47
191	0.76	74873.12	0.47
192	0.77	75006.09	0.47
193	0.77	75136.85	0.47
194	0.78	75265.43	0.46
195	0.78	75391.87	0.46
196	0.78	75516.22	0.46
197	0.79	75638.51	0.45
198	0.79	75758.78	0.45
199	0.80	75877.08	0.45
200	0.80	75993.45	0.45
201	0.80	76107.90	0.44
202	0.81	76220.50	0.44
203	0.81	76331.26	0.44
204	0.82	76440.22	0.44
205	0.82	76547.41	0.44
206	0.82	76652.88	0.43
207	0.83	76756.64	0.43
208	0.83	76858.73	0.43
209	0.84	76959.17	0.43
210	0.84	77058.01	0.42
211	0.84	77155.26	0.42
212	0.85	77250.96	0.42
213	0.85	77345.13	0.42
214	0.86	77437.80	0.41
215	0.86	77528.99	0.41
216	0.86	77618.74	0.41
217	0.87	77707.06	0.41
218	0.87	77793.99	0.41
219	0.88	77879.54	0.40
220	0.88	77963.73	0.40
221	0.88	78046.60	0.40
222	0.89	78128.16	0.40
223	0.89	78208.44	0.40
224	0.90	78287.45	0.40
225	0.90	78365.23	0.39
226	0.90	78441.78	0.39
227	0.91	78517.13	0.39
228	0.91	78591.30	0.39
229	0.92	78664.30	0.39
230	0.92	78736.17	0.38
231	0.92	78806.91	0.38
232	0.93	78876.55	0.38
233	0.93	78945.08	0.38
234	0.94	79012.57	0.38
235	0.94	79078.97	0.38
236	0.94	79144.39	0.37
237	0.95	79208.69	0.37
238	0.95	79272.15	0.37
239	0.96	79334.35	0.37
240	0.96	79396.03	0.37
241	0.96	79455.99	0.37
242	0.97	79516.27	0.37
243	0.97	79573.53	0.36
244	0.98	79633.34	0.36
245	0.98	79686.48	0.36
246	0.98	79748.34	0.36
247	0.99	79793.33	0.36
248	0.99	79864.07	0.36
249	1.00	79889.68	0.36
250	1.00	80000.00	0.35
